"id";"c_square";"x";"y";"AREA";"depth";"strata";"year";"month";"yday";"ctime";"swept";"pred"
17581;"1401:216:350:4";16.075;41.575;18;14.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.56309537391686
17582;"1401:216:350:2";16.075;41.525;18;15.6;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.43665310389665
17583;"1401:216:140:4";16.075;41.475;18;14.45;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.65440867530078
17584;"1401:216:140:2";16.075;41.425;18;9.4;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.10539745302789
17788;"1401:226:101:1";16.125;42.025;18;65.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.37747291286815
17789;"1401:216:391:3";16.125;41.975;18;23.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.83341916770832
17790;"1401:216:391:1";16.125;41.925;18;7.3;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;7.38996025847577
17794;"1401:216:371:1";16.125;41.725;18;9.35;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;10.3787572622429
17795;"1401:216:361:3";16.125;41.675;18;12.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;8.25971929341664
17796;"1401:216:361:1";16.125;41.625;18;14.15;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.72487227822608
17797;"1401:216:351:3";16.125;41.575;18;15.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.02060473420747
17798;"1401:216:351:1";16.125;41.525;18;16.4;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.94802710527482
17799;"1401:216:141:3";16.125;41.475;18;16.2;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.250580497461
17800;"1401:216:141:1";16.125;41.425;18;12.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.77427947103495
18003;"1401:226:101:4";16.175;42.075;18;106.2;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.3313289040823
18004;"1401:226:101:2";16.175;42.025;18;56.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.6395419557585
18005;"1401:216:391:4";16.175;41.975;18;33.75;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.00849153601218
18006;"1401:216:391:2";16.175;41.925;18;17.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.45943086288055
18010;"1401:216:371:2";16.175;41.725;18;12.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;9.71345758229031
18011;"1401:216:361:4";16.175;41.675;18;13.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;7.26941327396469
18012;"1401:216:361:2";16.175;41.625;18;14.75;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.7909183608887
18013;"1401:216:351:4";16.175;41.575;18;16.95;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.26583491084774
18014;"1401:216:351:2";16.175;41.525;18;18.4;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.39855103093988
18015;"1401:216:141:4";16.175;41.475;18;19.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.84036411790733
18016;"1401:216:141:2";16.175;41.425;18;17.05;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.45224970924499
18017;"1401:216:131:4";16.175;41.375;18;8.65;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.18013221138139
18219;"1401:226:102:3";16.225;42.075;18;109.3;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.64212503680016
18220;"1401:226:102:1";16.225;42.025;18;55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.86118953284491
18221;"1401:216:392:3";16.225;41.975;18;47.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.11006729032533
18222;"1401:216:392:1";16.225;41.925;18;24.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.39425926699011
18223;"1401:216:382:3";16.225;41.875;18;17.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.7216708933746
18224;"1401:216:382:1";16.225;41.825;18;14.45;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.09384783243558
18225;"1401:216:372:3";16.225;41.775;18;14.7;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.43595254211643
18226;"1401:216:372:1";16.225;41.725;18;15.35;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;6.31401553338407
18227;"1401:216:362:3";16.225;41.675;18;16.05;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;5.14562480926393
18228;"1401:216:362:1";16.225;41.625;18;17.75;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.64438370043806
18229;"1401:216:352:3";16.225;41.575;18;19.65;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.48367824161217
18230;"1401:216:352:1";16.225;41.525;18;21.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.90077334451336
18231;"1401:216:142:3";16.225;41.475;18;21.85;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.47198068503476
18232;"1401:216:142:1";16.225;41.425;18;20.6;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.16173486376717
18233;"1401:216:132:3";16.225;41.375;18;12.2;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.945527175016686
18435;"1401:226:102:4";16.275;42.075;18;109.9;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.97534645729168
18436;"1401:226:102:2";16.275;42.025;18;74.85;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.10736834217884
18437;"1401:216:392:4";16.275;41.975;18;54.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.23839816798677
18438;"1401:216:392:2";16.275;41.925;18;45;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.35889385555719
18439;"1401:216:382:4";16.275;41.875;18;26.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.45416759169355
18440;"1401:216:382:2";16.275;41.825;18;21.9;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.50205383222387
18441;"1401:216:372:4";16.275;41.775;18;20.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.47844370092655
18442;"1401:216:372:2";16.275;41.725;18;19.7;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;4.24302275842184
18443;"1401:216:362:4";16.275;41.675;18;20.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.6170617521559
18444;"1401:216:362:2";16.275;41.625;18;22.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.78367739538371
18445;"1401:216:352:4";16.275;41.575;18;25.35;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.04923470497914
18446;"1401:216:352:2";16.275;41.525;18;27.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.5349026900583
18447;"1401:216:142:4";16.275;41.475;18;26.15;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.17071503316193
18448;"1401:216:142:2";16.275;41.425;18;23.2;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.914176026142098
18449;"1401:216:132:4";16.275;41.375;18;18.35;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.742805447151002
18651;"1401:226:103:3";16.325;42.075;18;112.65;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.36601995685728
18652;"1401:226:103:1";16.325;42.025;18;101.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.42901424364829
18653;"1401:216:393:3";16.325;41.975;18;65.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.4704840330247
18654;"1401:216:393:1";16.325;41.925;18;59.75;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.47490705932899
18655;"1401:216:383:3";16.325;41.875;18;47.45;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.42374795270631
18656;"1401:216:383:1";16.325;41.825;18;37;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.29500960014934
18657;"1401:216:373:3";16.325;41.775;18;31.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.13574792062464
18658;"1401:216:373:1";16.325;41.725;18;30.6;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;3.00446433023962
18659;"1401:216:363:3";16.325;41.675;18;30.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.675207060193
18660;"1401:216:363:1";16.325;41.625;18;32;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.19370849317369
18661;"1401:216:353:3";16.325;41.575;18;33.75;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.68481938553944
18662;"1401:216:353:1";16.325;41.525;18;34.6;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.25340360879689
18663;"1401:216:143:3";16.325;41.475;18;33;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.930729509133471
18664;"1401:216:143:1";16.325;41.425;18;28.25;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.709515887462133
18665;"1401:216:133:3";16.325;41.375;18;22.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.573015551339078
18666;"1401:216:133:1";16.325;41.325;18;6.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.495123977584291
18867;"1401:226:103:4";16.375;42.075;18;122.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.83385713494304
18868;"1401:226:103:2";16.375;42.025;18;108.65;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.85231508966522
18869;"1401:216:393:4";16.375;41.975;18;88.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.84041826365724
18870;"1401:216:393:2";16.375;41.925;18;74.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.7832951871454
18871;"1401:216:383:4";16.375;41.875;18;67.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.67092458568521
18872;"1401:216:383:2";16.375;41.825;18;58.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.51157128465919
18873;"1401:216:373:4";16.375;41.775;18;50.7;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.36150001844811
18874;"1401:216:373:2";16.375;41.725;18;46.2;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.25375825938347
18875;"1401:216:363:4";16.375;41.675;18;45.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.09966947151977
18876;"1401:216:363:2";16.375;41.625;18;44.6;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.81847296848204
18877;"1401:216:353:4";16.375;41.575;18;43.9;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.42648144312906
18878;"1401:216:353:2";16.375;41.525;18;44.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.04086772120522
18879;"1401:216:143:4";16.375;41.475;18;41.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.744904797454464
18880;"1401:216:143:2";16.375;41.425;18;36.7;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.545484959439713
18881;"1401:216:133:4";16.375;41.375;18;27.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.435262327636923
18882;"1401:216:133:2";16.375;41.325;18;16.05;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.387134191482871
19083;"1401:226:104:3";16.425;42.075;18;124.9;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.3834281393266
19084;"1401:226:104:1";16.425;42.025;18;113.05;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.38056941694347
19085;"1401:216:394:3";16.425;41.975;18;104;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.34683603557398
19086;"1401:216:394:1";16.425;41.925;18;89.3;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.26817605082515
19087;"1401:216:384:3";16.425;41.875;18;80.15;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.1376665451853
19088;"1401:216:384:1";16.425;41.825;18;74.7;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.96911395234758
19089;"1401:216:374:3";16.425;41.775;18;68.15;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.81192013755066
19090;"1401:216:374:1";16.425;41.725;18;64.1;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.74075039257643
19091;"1401:216:364:3";16.425;41.675;18;60.55;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.74809513697249
19092;"1401:216:364:1";16.425;41.625;18;57.85;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.63471270340005
19093;"1401:216:354:3";16.425;41.575;18;55.3;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.2837732706265
19094;"1401:216:354:1";16.425;41.525;18;55.35;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.890120042504943
19095;"1401:216:144:3";16.425;41.475;18;51.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.609575632396521
19096;"1401:216:144:1";16.425;41.425;18;47.15;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.435880017393726
19097;"1401:216:134:3";16.425;41.375;18;38.95;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.344256691073981
19098;"1401:216:134:1";16.425;41.325;18;19.8;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;0.310772337508302
19299;"1401:226:104:4";16.475;42.075;18;130.5;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.0082473948484
19300;"1401:226:104:2";16.475;42.025;18;121.6;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;2.0022894300858
19301;"1401:216:394:4";16.475;41.975;18;109.85;"0_200";2013;7;0.498630136986301;2013.49863013699;0.05196;1.97041783635405
