"year";"mean_1";"lower_1";"higher_1";"mean_2";"lower_2";"higher_2";"mean_3";"lower_3";"higher_3";"cv1";"cv2";"cv3";"area"
2013;1.1791773188788;0.919568775474582;2.09920977473286;0.227196313872652;0.121465289015083;0.529115467604431;1.21071670958294;0.924174222563292;2.1408674919636;0.710555555555556;0.817333333333333;0.685888888888889;"18"
2014;1.39035675305869;1.09427811796957;2.28686342452862;2.44852980797997;1.5998546369608;4.94838610487907;1.31115556713636;1.03434175959744;2.14069501810317;0.698222222222222;0.730111111111111;0.685666666666667;"18"
2015;1.39588097872234;1.10139088834104;2.26561860327882;0.720717707462118;0.426633266067535;1.62235538215668;1.36872514561112;1.1272081876594;2.16809969440956;0.695888888888889;0.773777777777778;0.681333333333333;"18"
2016;1.54566464886726;1.23900001244311;2.6007639321048;1.66969369948622;1.07135552977692;3.52934745848729;1.46750077713895;1.21740568895507;2.35011325814546;0.689111111111111;0.747111111111111;0.68;"18"
2017;1.52821863100324;1.21559953947184;2.56943842893631;1.19717508218842;0.726371197973442;2.60061729582371;1.44528167177815;1.263069424796;2.24530685755981;0.684705882352941;0.743176470588235;0.673882352941176;"18"
2018;1.71529449178324;1.38665839118722;2.78816224916975;1.99901357514893;1.31251908300958;4.05159188636782;1.59449948331298;1.34024772099619;2.50826352675026;0.685168539325843;0.741460674157303;0.668651685393258;"18"
2019;1.7642740467347;1.38977848820765;2.9364248840147;1.84577668615212;1.18252565191291;3.7017080539387;1.6796424035615;1.44511769637269;2.65631520541188;0.692444444444444;0.731666666666667;0.679111111111111;"18"
2020;1.18190337181997;0.991626000388191;1.90581783108724;1.35218161152269;0.803195783520436;3.20310244786183;1.19312124755414;1.0536015817547;1.85242780245096;0.687857142857143;0.751571428571429;0.675142857142857;"18"
2021;1.18178951622423;0.978188538256461;1.90813661248265;1.0855464337454;0.654627959314238;2.44743888325263;1.25049329607917;1.07756868727214;2.005187654071;0.684857142857143;0.750142857142857;0.675;"18"
2023;1.72698230930185;1.33013136956942;2.97523301292025;1.46153926611676;0.960455003722824;3.0205507792008;2.02424378773367;1.62466347205555;3.56592684155862;0.720315789473684;0.744526315789474;0.709368421052632;"18"
2024;1.78448971789601;1.41601008334565;3.10313682743148;1.81483409455971;1.18820148774543;3.6652076235544;2.17035506416129;1.66284607190103;4.13119333084144;0.716808510638298;0.737659574468085;0.708829787234043;"18"
