"id";"c_square";"x";"y";"gsa";"depth";"strata";"year";"pred"
18438;"1401:216:392:2";16.275;41.925;18;45;"0_200";2017;14081.130803522
18439;"1401:216:382:4";16.275;41.875;18;26.8;"0_200";2017;20582.5940807313
18440;"1401:216:382:2";16.275;41.825;18;21.9;"0_200";2017;26990.0520173638
18441;"1401:216:372:4";16.275;41.775;18;20.1;"0_200";2017;30559.4514675579
18442;"1401:216:372:2";16.275;41.725;18;19.7;"0_200";2017;31290.79243132
18443;"1401:216:362:4";16.275;41.675;18;20.25;"0_200";2017;28094.7268925438
18444;"1401:216:362:2";16.275;41.625;18;22.5;"0_200";2017;20971.2548512427
18445;"1401:216:352:4";16.275;41.575;18;25.35;"0_200";2017;16650.3464197397
18446;"1401:216:352:2";16.275;41.525;18;27.25;"0_200";2017;15132.0015980251
18447;"1401:216:142:4";16.275;41.475;18;26.15;"0_200";2017;20446.8819879738
18448;"1401:216:142:2";16.275;41.425;18;23.2;"0_200";2017;32594.98758956
18449;"1401:216:132:4";16.275;41.375;18;18.35;"0_200";2017;38669.0403903384
18651;"1401:226:103:3";16.325;42.075;18;112.65;"0_200";2017;2454.06326745982
18652;"1401:226:103:1";16.325;42.025;18;101.55;"0_200";2017;2311.51993903325
18653;"1401:216:393:3";16.325;41.975;18;65.1;"0_200";2017;2253.01307955374
18654;"1401:216:393:1";16.325;41.925;18;59.75;"0_200";2017;2278.54268902114
18655;"1401:216:383:3";16.325;41.875;18;47.45;"0_200";2017;3886.41366371761
18656;"1401:216:383:1";16.325;41.825;18;37;"0_200";2017;7076.62600363957
18657;"1401:216:373:3";16.325;41.775;18;31.25;"0_200";2017;9178.62516654627
18658;"1401:216:373:1";16.325;41.725;18;30.6;"0_200";2017;10192.4111524399
18659;"1401:216:363:3";16.325;41.675;18;30.8;"0_200";2017;9742.01061636243
18660;"1401:216:363:1";16.325;41.625;18;32;"0_200";2017;7827.42355831864
18661;"1401:216:353:3";16.325;41.575;18;33.75;"0_200";2017;6840.56521495496
18662;"1401:216:353:1";16.325;41.525;18;34.6;"0_200";2017;6781.43558626823
18663;"1401:216:143:3";16.325;41.475;18;33;"0_200";2017;10706.5176647301
18664;"1401:216:143:1";16.325;41.425;18;28.25;"0_200";2017;18615.811450326
18665;"1401:216:133:3";16.325;41.375;18;22.1;"0_200";2017;31994.3451713709
18666;"1401:216:133:1";16.325;41.325;18;6.5;"0_200";2017;50842.1188278413
18867;"1401:226:103:4";16.375;42.075;18;122.5;"0_200";2017;1782.028737204
18868;"1401:226:103:2";16.375;42.025;18;108.65;"0_200";2017;1354.39624313977
18869;"1401:216:393:4";16.375;41.975;18;88.5;"0_200";2017;1111.82167761468
18870;"1401:216:393:2";16.375;41.925;18;74.5;"0_200";2017;1054.30504062836
18871;"1401:216:383:4";16.375;41.875;18;67.1;"0_200";2017;1584.46325074277
18872;"1401:216:383:2";16.375;41.825;18;58.1;"0_200";2017;2702.29630795659
18873;"1401:216:373:4";16.375;41.775;18;50.7;"0_200";2017;3464.76629528195
18874;"1401:216:373:2";16.375;41.725;18;46.2;"0_200";2017;3871.87321271957
18875;"1401:216:363:4";16.375;41.675;18;45.1;"0_200";2017;3777.44162621817
18876;"1401:216:363:2";16.375;41.625;18;44.6;"0_200";2017;3181.47153577936
18877;"1401:216:353:4";16.375;41.575;18;43.9;"0_200";2017;2950.07799237689
18878;"1401:216:353:2";16.375;41.525;18;44.55;"0_200";2017;3083.26099600953
18879;"1401:216:143:4";16.375;41.475;18;41.55;"0_200";2017;5171.6496830583
18880;"1401:216:143:2";16.375;41.425;18;36.7;"0_200";2017;9215.24405351601
18881;"1401:216:133:4";16.375;41.375;18;27.55;"0_200";2017;39508.8675853685
18882;"1401:216:133:2";16.375;41.325;18;16.05;"0_200";2017;96052.5202784969
19083;"1401:226:104:3";16.425;42.075;18;124.9;"0_200";2017;1512.39824861676
19084;"1401:226:104:1";16.425;42.025;18;113.05;"0_200";2017;899.292287975205
19085;"1401:216:394:3";16.425;41.975;18;104;"0_200";2017;534.459357639795
19086;"1401:216:394:1";16.425;41.925;18;89.3;"0_200";2017;417.899457609999
19087;"1401:216:384:3";16.425;41.875;18;80.15;"0_200";2017;388.376472876598
19088;"1401:216:384:1";16.425;41.825;18;74.7;"0_200";2017;445.890403439375
19089;"1401:216:374:3";16.425;41.775;18;68.15;"0_200";2017;513.083369134621
19090;"1401:216:374:1";16.425;41.725;18;64.1;"0_200";2017;589.95536996229
19091;"1401:216:364:3";16.425;41.675;18;60.55;"0_200";2017;653.768916138656
19092;"1401:216:364:1";16.425;41.625;18;57.85;"0_200";2017;704.524007663743
19093;"1401:216:354:3";16.425;41.575;18;55.3;"0_200";2017;825.892902955899
19094;"1401:216:354:1";16.425;41.525;18;55.35;"0_200";2017;1017.87560201491
19095;"1401:216:144:3";16.425;41.475;18;51.8;"0_200";2017;1965.16193116038
19096;"1401:216:144:1";16.425;41.425;18;47.15;"0_200";2017;3667.75189038956
19097;"1401:216:134:3";16.425;41.375;18;38.95;"0_200";2017;33826.029566436
19098;"1401:216:134:1";16.425;41.325;18;19.8;"0_200";2017;92439.9949591706
19299;"1401:226:104:4";16.475;42.075;18;130.5;"0_200";2017;1645.17888407106
19300;"1401:226:104:2";16.475;42.025;18;121.6;"0_200";2017;946.216909164131
19301;"1401:216:394:4";16.475;41.975;18;109.85;"0_200";2017;520.936043107548
19302;"1401:216:394:2";16.475;41.925;18;101.55;"0_200";2017;369.336285900725
19303;"1401:216:384:4";16.475;41.875;18;92.05;"0_200";2017;298.172793488964
19304;"1401:216:384:2";16.475;41.825;18;84.9;"0_200";2017;307.44556587206
19305;"1401:216:374:4";16.475;41.775;18;80.95;"0_200";2017;323.625002825278
19306;"1401:216:374:2";16.475;41.725;18;78.45;"0_200";2017;346.711104348594
19307;"1401:216:364:4";16.475;41.675;18;76;"0_200";2017;371.042486334883
19308;"1401:216:364:2";16.475;41.625;18;71.4;"0_200";2017;396.619148784134
19309;"1401:216:354:4";16.475;41.575;18;69.8;"0_200";2017;468.04103388092
19310;"1401:216:354:2";16.475;41.525;18;66.7;"0_200";2017;585.308141625099
19311;"1401:216:144:4";16.475;41.475;18;63.05;"0_200";2017;1087.09538888616
19312;"1401:216:144:2";16.475;41.425;18;57.8;"0_200";2017;1973.40277566272
19313;"1401:216:134:4";16.475;41.375;18;49.35;"0_200";2017;14945.5988390024
19314;"1401:216:134:2";16.475;41.325;18;34.15;"0_200";2017;40003.6835788503
19315;"1401:216:124:4";16.475;41.275;18;17.2;"0_200";2017;52532.7259487458
19514;"1401:226:215:1";16.525;42.125;18;141.39999;"0_200";2017;2002.30514817577
19515;"1401:226:205:3";16.525;42.075;18;134.89999;"0_200";2017;1716.38183127367
19516;"1401:226:205:1";16.525;42.025;18;127.4;"0_200";2017;1144.53519746972
19517;"1401:216:495:3";16.525;41.975;18;117.15;"0_200";2017;742.297197812684
19518;"1401:216:495:1";16.525;41.925;18;107.25;"0_200";2017;509.66783230216
19519;"1401:216:485:3";16.525;41.875;18;100.4;"0_200";2017;369.117605174382
19520;"1401:216:485:1";16.525;41.825;18;93.3;"0_200";2017;320.646516429108
19521;"1401:216:475:3";16.525;41.775;18;90.65;"0_200";2017;280.997033002259
19522;"1401:216:475:1";16.525;41.725;18;87.7;"0_200";2017;250.169154893822
19523;"1401:216:465:3";16.525;41.675;18;86.2;"0_200";2017;234.378651862347
19524;"1401:216:465:1";16.525;41.625;18;83.1;"0_200";2017;233.625523907789
19525;"1401:216:455:3";16.525;41.575;18;79.8;"0_200";2017;264.577045593157
19526;"1401:216:455:1";16.525;41.525;18;76.85;"0_200";2017;327.233216918353
19527;"1401:216:245:3";16.525;41.475;18;73.9;"0_200";2017;557.332953694967
19528;"1401:216:245:1";16.525;41.425;18;69.2;"0_200";2017;954.876255922399
19529;"1401:216:235:3";16.525;41.375;18;60.9;"0_200";2017;4417.69741340811
19530;"1401:216:235:1";16.525;41.325;18;47.2;"0_200";2017;10945.7964261382
19531;"1401:216:225:3";16.525;41.275;18;29.65;"0_200";2017;14209.8459324959
19730;"1401:226:215:2";16.575;42.125;18;153.39999;"0_200";2017;1841.88410094992
19731;"1401:226:205:4";16.575;42.075;18;142.39999;"0_200";2017;1726.00600644784
19732;"1401:226:205:2";16.575;42.025;18;136.35001;"0_200";2017;1494.24981744379
19733;"1401:216:495:4";16.575;41.975;18;124.55;"0_200";2017;1198.54695575795
19734;"1401:216:495:2";16.575;41.925;18;114.4;"0_200";2017;838.897421390358
19735;"1401:216:485:4";16.575;41.875;18;106.75;"0_200";2017;601.213744171041
19736;"1401:216:485:2";16.575;41.825;18;100.15;"0_200";2017;485.495924099668
19737;"1401:216:475:4";16.575;41.775;18;95.6;"0_200";2017;385.202043903073
19738;"1401:216:475:2";16.575;41.725;18;93.5;"0_200";2017;300.332103581244
19739;"1401:216:465:4";16.575;41.675;18;91.9;"0_200";2017;243.779983445126
19740;"1401:216:465:2";16.575;41.625;18;89.3;"0_200";2017;215.545683494644
19741;"1401:216:455:4";16.575;41.575;18;87.55;"0_200";2017;215.503655342983
19742;"1401:216:455:2";16.575;41.525;18;84.75;"0_200";2017;243.65389899005
19743;"1401:216:245:4";16.575;41.475;18;82.85;"0_200";2017;375.880755792464
19744;"1401:216:245:2";16.575;41.425;18;78.6;"0_200";2017;612.18422574985
19745;"1401:216:235:4";16.575;41.375;18;72.25;"0_200";2017;2242.47229544949
19746;"1401:216:235:2";16.575;41.325;18;61.25;"0_200";2017;5266.74496488506
19747;"1401:216:225:4";16.575;41.275;18;42;"0_200";2017;6778.88129959942
19748;"1401:216:225:2";16.575;41.225;18;17.4;"0_200";2017;6778.88129959942
19946;"1401:226:216:1";16.625;42.125;18;172.8;"0_200";2017;1761.67287148445
19947;"1401:226:206:3";16.625;42.075;18;160.8;"0_200";2017;1602.71115520184
19948;"1401:226:206:1";16.625;42.025;18;144.60001;"0_200";2017;1556.4289167863
19949;"1401:216:496:3";16.625;41.975;18;137.14999;"0_200";2017;1495.13826012271
19950;"1401:216:496:1";16.625;41.925;18;125.05;"0_200";2017;1418.83918521106
19951;"1401:216:486:3";16.625;41.875;18;117.05;"0_200";2017;1226.26362348107
19952;"1401:216:486:1";16.625;41.825;18;107.1;"0_200";2017;917.411574932993
19953;"1401:216:476:3";16.625;41.775;18;99.85;"0_200";2017;659.99760014859
19954;"1401:216:476:1";16.625;41.725;18;97.6;"0_200";2017;454.021699127804
19955;"1401:216:466:3";16.625;41.675;18;97.8;"0_200";2017;313.536244768463
19956;"1401:216:466:1";16.625;41.625;18;95.45;"0_200";2017;238.541237070402
19957;"1401:216:456:3";16.625;41.575;18;94.05;"0_200";2017;201.172950606633
19958;"1401:216:456:1";16.625;41.525;18;92.5;"0_200";2017;201.431385377028
19959;"1401:216:246:3";16.625;41.475;18;90.25;"0_200";2017;269.227563861441
19960;"1401:216:246:1";16.625;41.425;18;87.85;"0_200";2017;404.561486059624
19961;"1401:216:236:3";16.625;41.375;18;82.2;"0_200";2017;1003.47042747787
19962;"1401:216:236:1";16.625;41.325;18;73.15;"0_200";2017;2065.95438811408
