id;c_square;x;y;gsa;depth;strata;year;pred
18445;1401:216:352:4;16.275;41.575;18;25.35;0_200;2017;25.09110198
18446;1401:216:352:2;16.275;41.525;18;27.25;0_200;2017;25.60242094
18447;1401:216:142:4;16.275;41.475;18;26.15;0_200;2017;25.08822894
18448;1401:216:142:2;16.275;41.425;18;23.2;0_200;2017;23.54852597
18449;1401:216:132:4;16.275;41.375;18;18.35;0_200;2017;22.77867448
18651;1401:226:103:3;16.325;42.075;18;112.65;0_200;2017;788.4002124
18652;1401:226:103:1;16.325;42.025;18;101.55;0_200;2017;796.414077
18653;1401:216:393:3;16.325;41.975;18;65.1;0_200;2017;769.5667425
18654;1401:216:393:1;16.325;41.925;18;59.75;0_200;2017;707.8582088
18655;1401:216:383:3;16.325;41.875;18;47.45;0_200;2017;568.2912097
18656;1401:216:383:1;16.325;41.825;18;37;0_200;2017;350.8657452
18657;1401:216:373:3;16.325;41.775;18;31.25;0_200;2017;219.1908201
18658;1401:216:373:1;16.325;41.725;18;30.6;0_200;2017;173.2664345
18659;1401:216:363:3;16.325;41.675;18;30.8;0_200;2017;139.2136263
18660;1401:216:363:1;16.325;41.625;18;32;0_200;2017;117.0323955
18661;1401:216:353:3;16.325;41.575;18;33.75;0_200;2017;104.221891
18662;1401:216:353:1;16.325;41.525;18;34.6;0_200;2017;100.7821129
18663;1401:216:143:3;16.325;41.475;18;33;0_200;2017;96.66627902
18664;1401:216:143:1;16.325;41.425;18;28.25;0_200;2017;91.87438932
18665;1401:216:133:3;16.325;41.375;18;22.1;0_200;2017;73.64247307
18666;1401:216:133:1;16.325;41.325;18;6.5;0_200;2017;41.97053027
18867;1401:226:103:4;16.375;42.075;18;122.5;0_200;2017;784.1047306
18868;1401:226:103:2;16.375;42.025;18;108.65;0_200;2017;808.1464655
18869;1401:216:393:4;16.375;41.975;18;88.5;0_200;2017;807.2216261
18870;1401:216:393:2;16.375;41.925;18;74.5;0_200;2017;781.3302125
18871;1401:216:383:4;16.375;41.875;18;67.1;0_200;2017;709.9180847
18872;1401:216:383:2;16.375;41.825;18;58.1;0_200;2017;592.9852429
18873;1401:216:373:4;16.375;41.775;18;50.7;0_200;2017;493.8106928
18874;1401:216:373:2;16.375;41.725;18;46.2;0_200;2017;412.3944345
18875;1401:216:363:4;16.375;41.675;18;45.1;0_200;2017;343.0234443
18876;1401:216:363:2;16.375;41.625;18;44.6;0_200;2017;285.697722
18877;1401:216:353:4;16.375;41.575;18;43.9;0_200;2017;251.0271166
18878;1401:216:353:2;16.375;41.525;18;44.55;0_200;2017;239.0116279
18879;1401:216:143:4;16.375;41.475;18;41.55;0_200;2017;230.1727109
18880;1401:216:143:2;16.375;41.425;18;36.7;0_200;2017;224.5103655
18881;1401:216:133:4;16.375;41.375;18;27.55;0_200;2017;174.1709999
18882;1401:216:133:2;16.375;41.325;18;16.05;0_200;2017;79.15461406
19083;1401:226:104:3;16.425;42.075;18;124.9;0_200;2017;837.1358842
19084;1401:226:104:1;16.425;42.025;18;113.05;0_200;2017;880.4801605
19085;1401:216:394:3;16.425;41.975;18;104;0_200;2017;898.4532022
19086;1401:216:394:1;16.425;41.925;18;89.3;0_200;2017;891.0550096
19087;1401:216:384:3;16.425;41.875;18;80.15;0_200;2017;849.2735307
19088;1401:216:384:1;16.425;41.825;18;74.7;0_200;2017;773.1087658
19089;1401:216:374:3;16.425;41.775;18;68.15;0_200;2017;680.6688256
19090;1401:216:374:1;16.425;41.725;18;64.1;0_200;2017;571.9537101
19091;1401:216:364:3;16.425;41.675;18;60.55;0_200;2017;477.8467718
19092;1401:216:364:1;16.425;41.625;18;57.85;0_200;2017;398.3480106
19093;1401:216:354:3;16.425;41.575;18;55.3;0_200;2017;347.4483653
19094;1401:216:354:1;16.425;41.525;18;55.35;0_200;2017;325.147836
19095;1401:216:144:3;16.425;41.475;18;51.8;0_200;2017;312.7290587
19096;1401:216:144:1;16.425;41.425;18;47.15;0_200;2017;310.1920334
19097;1401:216:134:3;16.425;41.375;18;38.95;0_200;2017;255.3650997
19098;1401:216:134:1;16.425;41.325;18;19.8;0_200;2017;148.2482576
19299;1401:226:104:4;16.475;42.075;18;130.5;0_200;2017;947.494682
19300;1401:226:104:2;16.475;42.025;18;121.6;0_200;2017;1013.416228
19301;1401:216:394:4;16.475;41.975;18;109.85;0_200;2017;1043.262414
19302;1401:216:394:2;16.475;41.925;18;101.55;0_200;2017;1037.033238
19303;1401:216:384:4;16.475;41.875;18;92.05;0_200;2017;986.3575078
19304;1401:216:384:2;16.475;41.825;18;84.9;0_200;2017;891.2352228
19305;1401:216:374:4;16.475;41.775;18;80.95;0_200;2017;779.7636739
19306;1401:216:374:2;16.475;41.725;18;78.45;0_200;2017;651.9428609
19307;1401:216:364:4;16.475;41.675;18;76;0_200;2017;543.6823947
19308;1401:216:364:2;16.475;41.625;18;71.4;0_200;2017;454.9822752
19309;1401:216:354:4;16.475;41.575;18;69.8;0_200;2017;393.4847504
19310;1401:216:354:2;16.475;41.525;18;66.7;0_200;2017;359.1898203
19311;1401:216:144:4;16.475;41.475;18;63.05;0_200;2017;344.3344257
19312;1401:216:144:2;16.475;41.425;18;57.8;0_200;2017;348.9185666
19313;1401:216:134:4;16.475;41.375;18;49.35;0_200;2017;317.2244322
19314;1401:216:134:2;16.475;41.325;18;34.15;0_200;2017;249.2520226
19315;1401:216:124:4;16.475;41.275;18;17.2;0_200;2017;215.2658178
19514;1401:226:215:1;16.525;42.125;18;141.39999;0_200;2017;1108.416887
19515;1401:226:205:3;16.525;42.075;18;134.89999;0_200;2017;1144.527097
19516;1401:226:205:1;16.525;42.025;18;127.4;0_200;2017;1216.747517
19517;1401:216:495:3;16.525;41.975;18;117.15;0_200;2017;1243.105227
19518;1401:216:495:1;16.525;41.925;18;107.25;0_200;2017;1223.600225
19519;1401:216:485:3;16.525;41.875;18;100.4;0_200;2017;1153.130976
19520;1401:216:485:1;16.525;41.825;18;93.3;0_200;2017;1031.697479
19521;1401:216:475:3;16.525;41.775;18;90.65;0_200;2017;894.7291297
19522;1401:216:475:1;16.525;41.725;18;87.7;0_200;2017;742.2259286
19523;1401:216:465:3;16.525;41.675;18;86.2;0_200;2017;613.5386496
19524;1401:216:465:1;16.525;41.625;18;83.1;0_200;2017;508.6672927
19525;1401:216:455:3;16.525;41.575;18;79.8;0_200;2017;433.2018268
19526;1401:216:455:1;16.525;41.525;18;76.85;0_200;2017;387.1422517
